FIPS,State,County,Years of Potential Life Lost Rate,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Fair or Poor Health,Injury Death Rate,Primary Care Physicians Rate,% Uninsured,% Unemployed,Income Ratio,% Children in Poverty,Median Household Income,Life Expectancy,Drug Overdose Mortality Rate,Firearm Fatalities Rate,Homicide Rate,High School Graduation Rate,% Adults with Obesity,% Adults Reporting Currently Smoking,% Rural,Population
01021,Alabama,Chilton,11803.0,4.7,6.0,20.0,98.0,22.0,13.0,2.2,4.0,22.0,59165.0,72.7,25.0,18.0,5.0,86.0,36.0,16.0,85.5,46431.0
01023,Alabama,Choctaw,12977.0,5.1,6.4,27.0,123.0,40.0,11.0,4.0,5.5,36.0,47432.0,73.1,,,,83.0,46.0,21.0,100.0,12252.0
01025,Alabama,Clarke,16382.0,5.2,6.6,26.0,102.0,40.0,11.0,5.0,5.6,29.0,50868.0,69.9,15.0,22.0,10.0,84.0,44.0,21.0,100.0,22337.0
01027,Alabama,Clay,13313.0,5.1,6.4,25.0,122.0,28.0,11.0,2.4,4.9,25.0,52077.0,71.9,,21.0,,83.0,40.0,22.0,100.0,14111.0
01029,Alabama,Cleburne,12586.0,4.9,6.2,23.0,110.0,26.0,12.0,2.3,4.6,22.0,59526.0,72.1,,31.0,11.0,98.0,39.0,21.0,100.0,15639.0
01031,Alabama,Coffee,10339.0,4.6,5.7,20.0,78.0,52.0,12.0,2.5,5.2,21.0,64737.0,74.2,10.0,25.0,8.0,91.0,34.0,15.0,47.5,55643.0
01033,Alabama,Colbert,12370.0,4.6,6.0,22.0,87.0,66.0,11.0,2.9,4.7,21.0,57770.0,73.0,19.0,23.0,6.0,92.0,41.0,19.0,40.3,58361.0
01035,Alabama,Conecuh,18928.0,5.3,6.3,26.0,124.0,44.0,11.0,3.5,5.3,43.0,46702.0,69.0,32.0,34.0,18.0,93.0,45.0,20.0,100.0,11174.0
01037,Alabama,Coosa,14410.0,4.8,6.2,24.0,108.0,,9.0,2.6,4.0,28.0,59736.0,72.2,,25.0,14.0,,43.0,20.0,100.0,10268.0
01039,Alabama,Covington,14664.0,4.9,6.6,22.0,105.0,48.0,11.0,2.7,5.6,22.0,50119.0,70.6,22.0,23.0,7.0,95.0,45.0,19.0,68.8,37952.0
01041,Alabama,Crenshaw,13952.0,5.0,6.3,24.0,99.0,23.0,13.0,2.7,5.8,27.0,49128.0,70.4,,24.0,12.0,88.0,40.0,20.0,100.0,13101.0
01043,Alabama,Cullman,11853.0,4.8,6.2,22.0,100.0,48.0,12.0,2.0,4.6,21.0,61231.0,72.9,31.0,15.0,4.0,94.0,40.0,19.0,75.6,92016.0
01045,Alabama,Dale,11939.0,5.0,5.9,23.0,83.0,28.0,10.0,2.5,4.8,22.0,54697.0,73.0,16.0,25.0,7.0,89.0,44.0,19.0,50.5,49871.0
01047,Alabama,Dallas,20427.0,5.4,6.5,28.0,135.0,72.0,10.0,5.4,5.6,47.0,39013.0,67.7,24.0,48.0,41.0,81.0,51.0,20.0,44.9,36165.0
01049,Alabama,DeKalb,11969.0,5.3,6.4,28.0,100.0,40.0,15.0,2.3,4.8,29.0,50614.0,72.4,23.0,18.0,3.0,92.0,39.0,23.0,88.3,72569.0
01051,Alabama,Elmore,9508.0,4.4,5.9,19.0,69.0,22.0,9.0,2.1,4.0,17.0,73125.0,74.6,11.0,20.0,9.0,86.0,36.0,16.0,71.2,90441.0
01053,Alabama,Escambia,15045.0,5.6,6.8,26.0,130.0,30.0,12.0,3.1,5.4,29.0,50333.0,70.1,49.0,19.0,13.0,90.0,44.0,22.0,65.3,36558.0
01055,Alabama,Etowah,14706.0,4.7,5.9,22.0,99.0,74.0,11.0,2.8,4.9,26.0,52504.0,70.2,26.0,23.0,8.0,89.0,41.0,19.0,43.2,103241.0
01057,Alabama,Fayette,14667.0,5.3,6.6,25.0,108.0,99.0,12.0,2.9,5.5,22.0,49235.0,70.7,39.0,18.0,,88.0,39.0,22.0,100.0,15967.0
01059,Alabama,Franklin,13059.0,5.2,6.2,26.0,108.0,41.0,14.0,2.6,4.6,34.0,49682.0,71.5,27.0,13.0,5.0,95.0,40.0,20.0,69.0,31802.0
01061,Alabama,Geneva,14287.0,5.4,6.9,23.0,92.0,30.0,12.0,2.4,4.4,27.0,50006.0,70.6,16.0,16.0,,96.0,38.0,18.0,99.4,26988.0
01063,Alabama,Greene,16287.0,5.8,6.9,34.0,104.0,39.0,9.0,4.8,5.2,47.0,34619.0,70.6,,33.0,,88.0,51.0,24.0,100.0,7341.0
01065,Alabama,Hale,15927.0,5.2,6.3,26.0,98.0,20.0,11.0,3.3,6.0,32.0,42380.0,69.9,,37.0,21.0,93.0,44.0,19.0,100.0,14888.0
01067,Alabama,Henry,10894.0,4.9,6.2,26.0,95.0,34.0,11.0,2.6,5.8,23.0,55598.0,74.2,,28.0,11.0,93.0,38.0,22.0,100.0,17899.0
01069,Alabama,Houston,11251.0,4.5,6.1,22.0,78.0,82.0,12.0,2.6,5.2,25.0,59412.0,73.5,16.0,24.0,10.0,90.0,38.0,19.0,34.3,108462.0
01071,Alabama,Jackson,13932.0,5.1,6.4,24.0,93.0,51.0,13.0,2.5,4.6,19.0,51479.0,70.9,11.0,25.0,7.0,94.0,39.0,21.0,75.3,53467.0
